project,sha,author,commit_date,is_bug
'testproject','9f9fe6d73d86657c4c12c64993fabf320d79a66f','Kevin Sawicki','2012-09-07','False'
'testproject','9a17610df2b546c10720cc4838dad3c2da93790d','Kevin Sawicki','2012-09-07','False'
'testproject','5ef016b49c18b26cd7149e503747e8f3c0f36a3f','Kevin Sawicki','2012-09-07','False'
'testproject','28163dd22967b4b090d778d3d7826bbfda1929c2','Kevin Sawicki','2012-09-07','False'
'testproject','b769cfdebe564edd7292c8172a042a430f007311','Kevin Sawicki','2012-09-07','False'
'testproject','19026addad6f8f6b31a162dd82ef8c02a0bb0501','Kevin Sawicki','2012-09-07','False'
'testproject','3be57de50fe0481a2c7ff7beb30165af1e019a4b','Kevin Sawicki','2012-09-07','False'
'testproject','c9c387d0a1d0e2c4107ecc87bd9ad84ab1b7c7a5','Kevin Sawicki','2012-09-07','False'
'testproject','80744e643bcf40506436cefeecc0c323ed5afaac','Kevin Sawicki','2012-09-07','False'
'testproject','d825306b93c9a204a3b545412fa70cea4dceccba','Kevin Sawicki','2012-09-06','False'
'testproject','3b07773dfa476c2e368c677d3685f28326b42476','Kevin Sawicki','2012-09-06','False'
