project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','014f68245e33935feec6cc6e498e9bac9a2c05eb','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','deleteCachedUserAvatars','7','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','014f68245e33935feec6cc6e498e9bac9a2c05eb','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatar','8','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','014f68245e33935feec6cc6e498e9bac9a2c05eb','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','2','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','014f68245e33935feec6cc6e498e9bac9a2c05eb','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatarTask','2','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','47042f0f126439d40b309e1468cd98a15c933449','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getAvatarFilenameForUrl','2','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','47042f0f126439d40b309e1468cd98a15c933449','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatar','2','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','47042f0f126439d40b309e1468cd98a15c933449','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','3','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','47042f0f126439d40b309e1468cd98a15c933449','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatarTask','4','4',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','9b4b581d8a20673569c53fa29a07a05641b2d773','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','onCreate','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','3e22955e04d3bacc31bb5367de9cc67188fdf05d','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','3e22955e04d3bacc31bb5367de9cc67188fdf05d','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','2','28',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','3e22955e04d3bacc31bb5367de9cc67188fdf05d','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','4','3',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','3e22955e04d3bacc31bb5367de9cc67188fdf05d','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatarTask','4','6',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','148ebdb9cf4b25661c743bd9866e37ecf62ad644','java','app/src/main/java/com/github/mobile/ui/repo/RepositoryViewActivity.java','False','0','True','onOptionsItemSelected','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','4985820a301f62e27141d747178a4ab243c7a640','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getImage','1','12',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','4985820a301f62e27141d747178a4ab243c7a640','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getImage','2','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','4985820a301f62e27141d747178a4ab243c7a640','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getImageBy','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','672b331ca8d2b8a9af651ccacf519df8bf0fe37f','java','app/src/main/java/com/github/mobile/ui/repo/RepositoryListFragment.java','False','0','True','onListItemLongClick','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','5c177ae53b236ea5ad08f1e18b915b344b45fb33','java','app/src/main/java/com/github/mobile/ui/repo/RepositoryListFragment.java','False','0','True','onListItemLongClick','2','1',0,0,0,0,0,0,0,0,0,0,0,0
